sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
NZ;PCT/EP2023/065991;817236;W;;
NZ;PCT/EP2023/064749;816886;W;;
NZ;PCT/US2023/022990;816680;C;;
NZ;PCT/EP2023/062066;816853;C;;
NZ;PCT/AU2023/050582;817038;C;;
NZ;PCT/CA2023/050660;816715;D;;
NZ;PCT/IB2023/056049;817420;D;;
NZ;PCT/KR2023/000398;817270;D;;
NZ;PCT/JP2023/021761;816885;G;;
NZ;PCT/US2023/026994;817359;G;;
NZ;PCT/US2023/023307;816877;R;;
NZ;PCT/US2023/024617;817037;R;;
NZ;PCT/US2023/067996;817013;R;;
NZ;PCT/US2023/069132;816817;W;;
NZ;PCT/US2023/066436;816714;W;;
NZ;PCT/US2023/028124;817231;W;;
NZ;PCT/US2023/067927;816899;C;;
NZ;PCT/ES2023/070358;817303;C;;
NZ;PCT/US2023/026140;817168;D;;
NZ;PCT/EP2023/064065;817230;D;;
NZ;PCT/AU2023/050469;816941;D;;
NZ;PCT/JP2023/020924;816884;G;;
NZ;PCT/CZ2023/050037;817050;G;;
NZ;PCT/EP2023/068080;817035;G;;
NZ;PCT/EP2023/067987;816816;R;;
NZ;PCT/EP2023/070918;816872;R;;
NZ;PCT/US2023/068665;817187;R;;
NZ;PCT/US2023/022098;816771;W;;
NZ;PCT/IB2023/056283;817296;W;;
NZ;PCT/US2023/026769;817407;C;;
NZ;PCT/NO2023/060008;817254;C;;
NZ;PCT/EP2023/068358;816983;C;;
NZ;PCT/US2023/021150;816773;D;;
NZ;PCT/EP2023/067805;817273;D;;
NZ;PCT/US2023/066825;816945;D;;
NZ;PCT/US2023/068821;817317;G;;
NZ;PCT/ES2023/070416;816935;G;;
NZ;PCT/CN2023/100225;817165;G;;
NZ;PCT/US2023/067013;817124;R;;
NZ;PCT/GB2023/051298;817205;R;;
NZ;PCT/US2023/026081;816848;W;;
NZ;PCT/US2023/068006;817074;W;;
NZ;PCT/GB2023/051612;816896;W;;
NZ;PCT/EP2023/055328;816806;C;;
NZ;PCT/GB2023/051668;817338;C;;
NZ;PCT/CN2023/098241;816992;C;;
NZ;PCT/EP2023/067939;816869;D;;
NZ;PCT/IB2023/000335;817315;D;;
NZ;PCT/US2023/070306;816882;C;;
NZ;PCT/US2023/067064;817192;C;;
NZ;PCT/EP2023/062404;816820;D;;
NZ;PCT/US2023/068555;817328;D;;
NZ;PCT/DK2023/050124;816698;G;;
